Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,43.0605539507,5.65380553275,0.0492498420047,6.79125317343,12.925468867,10.100111941,43.1939933883,43.1739933883,0.0,0.02
 01/01  02:00:00,44.2145277843,5.71654009034,0.0432336689596,7.8896680612,12.925468867,10.100111941,48.2077103176,42.4495786326,0.0,5.75813168495
 01/01  03:00:00,41.1265836884,5.79937017084,0.0336900641307,9.34747644522,8.34152022915,10.0650221343,43.1048987069,43.0848987069,0.0,0.02
 01/01  04:00:00,41.8838722416,5.84053571873,0.0275207725778,10.0697678963,8.34152022915,10.0650221343,49.3226568681,43.5642514273,0.0,5.75840544082
 01/01  05:00:00,43.9442877254,5.86526379967,0.022461580655,10.50384738,8.34152022915,11.6705166398,49.6500184246,43.8857721527,0.0,5.76424627189
 01/01  06:00:00,48.4733728632,5.8854334448,0.0181906182681,10.8586783143,8.80141237637,15.3678112995,49.0043040241,43.2342785537,0.0,5.7700254704
 01/01  07:00:00,66.7266753231,5.78811618304,0.027136033694,9.22365620018,18.5082010057,25.6353820695,47.8565473409,42.0761099655,0.0,5.78043737544
 01/01  08:00:00,74.5908588915,5.63025848696,0.178231118852,6.29157107242,19.4926561212,41.1001056674,52.319140278,40.7166921549,0.0,11.6024481231
 01/01  09:00:00,94.2979638624,5.57101492362,1.65127752688,2.71131109531,26.3286599382,57.9988325916,68.7517914564,33.2860349783,0.0,35.4657564781
 01/01  10:00:00,81.6576337296,5.55731432891,2.53742108425,4.4721966998,26.2443270014,42.8153538416,79.4974422334,32.0716317257,18.025,29.4008105077
 01/01  11:00:00,60.5333508392,5.68328463594,2.35745360263,7.27667201266,21.7447113004,23.4437158914,73.5610073778,32.081466317,18.025,23.4545410609
 01/01  12:00:00,57.4605631702,5.64752048862,2.42323665068,6.57600072708,19.3449162599,23.4437158914,72.5151903793,31.0863722009,18.025,23.4038181783
 01/01  13:00:00,55.6192981599,5.55986653713,2.35853640014,4.74502479757,19.190480192,23.7425572507,70.7913422474,29.4147338167,18.025,23.3516084306
 01/01  14:00:00,54.5065440051,5.5099648029,2.47425889351,3.54032222137,19.260583323,23.698576057,61.5519842429,26.0123830089,18.025,17.514601234
 01/01  15:00:00,53.7237865157,5.46490005576,2.45025091034,2.82664591424,19.260583323,23.698576057,65.989441031,24.6100685152,18.025,23.3543725157
 01/01  16:00:00,52.8938855431,5.43668547629,2.49957181089,2.26558210337,19.260583323,23.4086260847,65.8082410097,24.4369987153,18.025,23.3462422944
 01/01  17:00:00,56.4059439542,5.42930231665,1.64905916828,2.18421831578,19.260583323,27.8781056672,42.5811137392,24.5361137392,18.025,0.02
 01/01  18:00:00,68.8729134053,5.42366814678,0.352990028151,1.67836155887,18.1807569449,37.5792895564,32.6577371519,26.8877958793,0.0,5.76994127268
 01/01  19:00:00,84.5444898578,5.45867868558,0.958881085845,0.931406258114,32.6059821062,37.0465235296,37.3909594553,31.6153518862,0.0,5.77560756913
 01/01  20:00:00,85.1478764234,5.50979990795,1.42164187855,0.789720841112,36.8143715336,33.066984531,43.8023529625,32.2484146634,0.0,11.5539382991
 01/01  21:00:00,91.2484082825,5.59864473028,2.12899962358,0.734548109702,36.43363367,38.8072253906,44.8054118818,34.6246510323,0.0,10.1807608495
 01/01  22:00:00,89.0800598874,5.60362301139,2.07816228992,0.96877083767,36.0963922311,36.7877557581,44.1840373851,37.024683334,0.0,7.15935405114
 01/01  23:00:00,67.0686646686,5.45958869718,0.718701405547,1.78078502747,30.9507766546,20.6087787026,51.6387599767,40.0375194038,0.0,11.601240573
 01/01  24:00:00,47.1548297984,5.5436917747,0.0708348203259,4.86542244162,17.4250845679,11.7056064465,55.3386362591,43.7950536081,0.0,11.5435826509
 01/02  01:00:00,42.7046346731,5.70204437397,0.0460823006472,7.70956830558,11.6412384099,10.0650221343,45.9594024923,45.9394024923,0.0,0.02
 01/02  02:00:00,43.2122196014,5.81209694792,0.0368476698306,9.67708635457,10.0992000411,10.047477231,52.6584340761,46.900086115,0.0,5.75834796107
 01/02  03:00:00,43.4742030654,5.92330877897,0.0277314157598,11.6965305351,8.25718729233,10.0299323277,54.8187579135,49.0603711582,0.0,5.75838675529
 01/02  04:00:00,45.0296544802,6.0026743846,0.0207596404639,13.1795924406,8.25718729233,10.0299323277,50.4905437088,50.4705437088,0.0,0.02
 01/02  05:00:00,48.1687659676,6.08007561844,0.0143504680093,14.6410437525,8.25718729233,11.6354268332,58.0347617897,52.2707492554,0.0,5.76401253432
 01/02  06:00:00,56.2660603582,6.1025139281,0.0122472739745,15.1381653106,12.1011305571,15.3678112995,58.0639590024,52.2820930558,0.0,5.78186594657
 01/02  07:00:00,80.7183725368,5.81416310807,0.0580312675224,10.3044722358,19.7275818095,37.2640762949,68.4418697086,51.0513220717,0.0,17.3905476369
 01/02  08:00:00,91.0299930424,5.70483082411,0.735904206024,7.09520529394,24.3117294858,51.2795993405,65.7539223319,48.2886751112,0.0,17.4652472207
 01/02  09:00:00,80.9775749053,5.83414229757,0.16239605269,10.6463398736,23.6694662846,40.6342015617,62.1746418582,38.6452867438,0.0,23.5293551144
 01/02  10:00:00,77.6162930759,5.83486763754,1.99822625266,10.4559984097,23.6694662846,35.6302164847,83.159352752,35.8266204915,18.025,29.3077322605
 01/02  11:00:00,60.4209114328,5.86022166616,2.23346276968,10.5968309915,18.7433767983,22.9618409725,74.2405334168,32.8076204885,18.025,23.4079129283
 01/02  12:00:00,58.108299363,5.74057688435,2.35524968893,8.28441833448,18.7433767983,22.9618409725,65.168006986,29.6199442371,18.025,17.5230627489
 01/02  13:00:00,56.2746612013,5.65693349304,2.28042673835,6.56580010447,18.5889407304,23.1597249699,68.8408450436,27.4623848001,18.025,23.3534602435
 01/02  14:00:00,54.7089846097,5.57429837045,2.4893549482,4.62732243287,18.7433767983,23.2517909448,59.9698033209,24.427843427,18.025,17.5169598938
 01/02  15:00:00,53.8579692812,5.54182674983,2.72114209419,3.57699852848,18.7433767983,23.2517909448,63.2954857995,21.9138928776,18.025,23.3565929219
 01/02  16:00:00,53.0904756109,5.52204294829,2.75938415444,3.08099314923,18.7433767983,22.9618409725,64.6358619463,23.2623527162,18.025,23.3485092301
 01/02  17:00:00,56.361921288,5.49674596366,1.75513361915,2.93066354185,18.7433767983,27.431320555,43.0935834556,25.0485834556,18.025,0.02
 01/02  18:00:00,72.1861485508,5.47909880843,0.617367361083,2.0699565077,17.6635504202,40.6971502883,40.2095104329,28.6783083799,0.0,11.531202053
 01/02  19:00:00,80.3693337936,5.48399341888,0.867666203193,1.60889288042,27.5259009287,37.3340067412,45.7455308857,34.1552554615,0.0,11.5902754243
 01/02  20:00:00,82.6776005096,5.49420029129,1.10852867051,1.340931512,33.8341110165,33.3544677425,40.9898287463,35.2024007436,0.0,5.78742800271
 01/02  21:00:00,91.3381592417,5.55368242541,1.65845850609,1.2379178708,36.5179666069,38.8247702939,49.8370676854,38.283794665,0.0,11.5532730204
 01/02  22:00:00,86.2686070921,5.5802419765,1.78250836388,1.53253864164,32.965339924,36.8579353714,52.464899038,40.8632783181,0.0,11.6016207199
 01/02  23:00:00,63.3218250525,5.52342472203,0.593204653713,3.3792216361,25.6355707503,20.6438685092,53.3038570044,41.737187224,0.0,11.5666697803
 01/02  24:00:00,47.0091101563,5.65961791824,0.054999465925,7.02174502164,15.0252895274,11.7056064465,49.9303937365,44.1602737115,0.0,5.77012002503
 01/03  01:00:00,45.1247431119,5.82458005492,0.0360360923562,10.0171840308,11.6412384099,10.0650221343,47.5860669642,47.5660669642,0.0,0.02
 01/03  02:00:00,45.5717075618,5.92904830975,0.0279719831418,11.9284969587,10.0992000411,10.047477231,55.0872568227,49.3289638657,0.0,5.75829295707
 01/03  03:00:00,45.7333431859,6.0333180803,0.0195138728389,13.8538764348,8.25718729233,10.0299323277,57.1864185517,51.428196318,0.0,5.75822223372
 01/03  04:00:00,47.8419969276,6.13952676698,0.0122670528317,15.8635730303,8.25718729233,10.0299323277,54.2283781026,54.2083781026,0.0,0.02
 01/03  05:00:00,50.3769660362,6.18753915985,0.00716168570622,16.7489662206,8.25718729233,11.6354268332,59.9074804897,54.143263447,0.0,5.76421704265
 01/03  06:00:00,57.9438234486,6.18325653552,0.00613965672585,16.7412880274,12.1011305571,15.3678112995,58.3916461095,52.6100591771,0.0,5.78158693245
 01/03  07:00:00,82.7026067911,5.90653805682,0.0443671732297,12.2099886167,19.7275818095,37.2640762949,70.1692031191,52.7771145392,0.0,17.39208858
 01/03  08:00:00,92.8628048691,5.78500578428,0.683808480633,8.89992515899,24.3117294858,51.2795993405,68.105868663,50.6396975131,0.0,17.4661711499
 01/03  09:00:00,81.4805526906,5.85862111535,0.267631597952,11.0195958263,23.6694662846,40.6342015617,67.2947314756,37.8912448773,0.0,29.4034865983
 01/03  10:00:00,76.180990039,5.7756922929,2.45171305664,8.62637909954,23.6694662846,35.6302164847,72.1947209708,30.7208872795,18.025,23.4488336913
 01/03  11:00:00,57.7152009527,5.74010804567,2.82220222141,7.42249008029,18.7433767983,22.9618409725,68.2139838629,26.781780548,18.025,23.407203315
 01/03  12:00:00,56.0959022314,5.69728303092,3.4288659429,5.2416956856,18.7433767983,22.9618409725,58.4792714588,22.9298601128,18.025,17.5244113461
 01/03  13:00:00,54.6479438196,5.65635106019,3.63525817239,3.58483117623,18.5889407304,23.1597249699,60.2340607361,18.8537215901,18.025,23.355339146
 01/03  14:00:00,53.5808756546,5.59273556665,3.66657566125,2.30355395822,18.7433767983,23.2517909448,57.0506455321,15.6761529585,18.025,23.3494925736
 01/03  15:00:00,52.9186560093,5.56831855868,3.85973374679,1.47259731711,18.7433767983,23.2517909448,48.8561833346,13.3079519165,18.025,17.5232314181
 01/03  16:00:00,52.0768756759,5.53832640505,3.84836373232,0.962129092711,18.7433767983,22.9618409725,55.1220108596,13.7463794837,18.025,23.3506313759
 01/03  17:00:00,55.0675335106,5.48432875219,2.81630537775,0.587515813912,18.7433767983,27.431320555,34.5920279239,13.9192615491,18.025,2.64776637476
 01/03  18:00:00,71.0561332142,5.48475839634,1.31749987567,0.234144362936,17.6635504202,40.6971502883,25.9536082213,17.056324099,0.0,8.89728412238
 01/03  19:00:00,79.6847063618,5.50810281891,1.58356976185,0.18424308825,27.5259009287,37.3340067412,35.4305748877,23.8400360273,0.0,11.5905388605
 01/03  20:00:00,82.2886904422,5.53427744691,1.79230067785,0.228167113684,33.8341110165,33.3544677425,31.6187901063,25.8326787096,0.0,5.78611139673
 01/03  21:00:00,91.1743210907,5.62279252003,2.43718012004,0.226242442657,36.5179666069,38.8247702939,39.421946425,27.8676184663,0.0,11.5543279588
 01/03  22:00:00,85.9329440344,5.6531246516,2.59012044188,0.316372439509,32.965339924,36.8579353714,41.3686431039,29.7664559999,0.0,11.6021871041
 01/03  23:00:00,61.216861929,5.48663881684,1.21693785928,0.687304683554,25.6355707503,20.6438685092,43.3247563788,31.7578738371,0.0,11.5668825417
 01/03  24:00:00,42.4694277255,5.46583321012,0.412874477842,2.31796907438,15.0252895274,11.7056064465,41.2326427508,35.4624529239,0.0,5.77018982698
 01/04  01:00:00,38.8492354354,5.51766338526,0.146318016654,3.93830711652,11.6412384099,10.0650221343,45.0943017994,39.3299203728,0.0,5.76438142656
 01/04  02:00:00,38.0007464059,5.54829559935,0.0591975242081,4.70706292934,10.0992000411,10.047477231,39.8788212578,39.8588212578,0.0,0.02
 01/04  03:00:00,37.7422731677,5.63046928585,0.0314997154613,6.253667029,8.25718729233,10.0299323277,46.937648705,41.1792511313,0.0,5.75839757375
 01/04  04:00:00,39.6243704832,5.72883520666,0.0244298058295,8.04447288577,8.25718729233,10.0299323277,44.0310550797,44.0110550797,0.0,0.02
 01/04  05:00:00,42.5784465285,5.7986653806,0.0188220966524,9.32765813979,8.25718729233,11.6354268332,51.114936043,45.3505420318,0.0,5.76439401123
 01/04  06:00:00,50.6134135677,5.81966735232,0.0177445842734,9.76285615989,12.1011305571,15.3678112995,56.1791544268,44.6357644879,0.0,11.5433899389
 01/04  07:00:00,76.5405572986,5.64559514496,0.509773099852,5.84347107439,19.7275818095,37.2640762949,55.041363158,43.4402859085,0.0,11.6010772495
 01/04  08:00:00,88.1495078878,5.64643597684,1.67347191954,3.33552281093,24.3117294858,51.2795993405,56.6937114786,39.2270242726,0.0,17.466687206
 01/04  09:00:00,75.8227279514,5.62879236482,1.18673200789,4.67249204834,23.6694662846,40.6342015617,56.3903149429,26.9817204869,0.0,29.408594456
 01/04  10:00:00,72.5407372208,5.66024080782,3.8293481505,3.72393860759,23.6694662846,35.6302164847,61.6644409315,20.1881396032,18.025,23.4513013283
 01/04  11:00:00,55.0033474943,5.66199385079,4.08534950418,3.52559859117,18.7433767983,22.9618409725,58.2267012068,16.7934785743,18.025,23.4082226325
 01/04  12:00:00,54.1827967616,5.65202077267,4.67362927912,2.12908625633,18.7433767983,22.9618409725,52.7889884168,11.4070456904,18.025,23.3569427264
