Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,75.4315567703,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,82.7883595885,7.28847501768,0.0,0.0,3.49369000822,6.81298672936,20.0399547029,18.2687047029,1.75125,0.02
 01/01  03:00:00,86.6667278555,11.1438723829,0.0,0.0,3.49369000822,6.81298672936,34.7212380702,31.8056660589,1.75125,1.16432201129
 01/01  04:00:00,86.7505379465,11.1861043542,0.0,0.0,3.49369000822,6.81298672936,32.0096744245,30.2384244245,1.75125,0.02
 01/01  05:00:00,89.8222435308,7.66856275918,0.0,0.0,3.49369000822,6.81298672936,23.4603030734,21.6890530734,1.75125,0.02
 01/01  06:00:00,92.916563409,11.312800268,0.0,0.0,3.49369000822,6.81298672936,33.2998405719,30.3843475427,1.75125,1.16424302921
 01/01  07:00:00,120.56346076,25.3777845516,0.0,0.0,6.98738001645,14.1499734587,500.183207069,496.660707069,3.5025,0.02
 01/01  08:00:00,119.538225499,25.3777845516,0.0,0.0,6.98738001645,14.1499734587,465.821472838,462.298972838,3.5025,0.02
 01/01  09:00:00,151.396846237,25.3777845516,0.0,0.0,6.98738001645,14.1499734587,412.552820282,407.885926974,3.5025,1.16439330808
 01/01  10:00:00,124.061530313,25.3777845516,0.0,0.0,6.98738001645,14.1499734587,400.501873618,396.979373618,3.5025,0.02
 01/01  11:00:00,158.583845118,25.3777845516,0.0,0.0,27.9495200658,27.7759469175,366.851376145,358.681605849,7.005,1.16477029642
 01/01  12:00:00,189.856823749,25.3777845516,0.0,0.0,27.9495200658,27.7759469175,349.077876635,340.908147253,7.005,1.16472938204
