Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4210828528,3.95890204179,0.0,0.0,4.58992532963,8.1892,105.774274173,96.0842954397,3.33988,6.35009873306
 01/01  02:00:00,14.6483916031,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.671971076,0.0,0.0,0.0,1.52997510988,7.4902,3.93195289626,0.0,3.33988,0.592072896263
 01/01  04:00:00,14.6856500352,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8370366499,0.0,0.0,0.0,1.52997510988,7.4902,3.93195879834,0.0,3.33988,0.592078798343
 01/01  06:00:00,22.5664706285,3.95890204179,0.00938079182556,0.0,4.58992532963,8.1892,106.011290335,97.6415903352,8.3497,0.02
 01/01  07:00:00,38.5241234639,3.95890204179,0.0136416838791,0.0,9.17985065927,19.4245,113.222804799,92.4858982204,16.6994,4.03750657819
 01/01  08:00:00,42.8140823939,3.95890204179,0.0116444898852,0.0,9.17985065927,26.9147,109.987458542,80.9006642055,25.0491,4.03769433691
 01/01  09:00:00,41.7564707589,3.95890204179,0.0,0.0,9.17985065927,26.9147,117.857951981,79.8474132789,33.3988,4.61173870255
 01/01  10:00:00,34.2662470468,3.95890204179,0.0,0.0,9.17985065927,19.4245,114.614335572,85.5273191051,25.0491,4.03791646694
 01/01  11:00:00,41.7676559049,3.95890204179,0.0101203617428,0.0,9.17985065927,26.9147,135.96946007,81.465465835,41.7485,12.7554942348
 01/01  12:00:00,42.5339586818,3.95890204179,0.0,0.0,9.17985065927,26.9147,130.963907346,76.4607470536,41.7485,12.7546602924
 01/01  13:00:00,41.815494085,3.95890204179,0.0,0.0,9.17985065927,26.9147,121.783970545,69.0434560167,41.7485,10.9920145281
 01/01  14:00:00,34.2927953014,3.95890204179,0.0,0.0,9.17985065927,19.4245,111.15724237,67.3443935384,33.3988,10.4140488319
 01/01  15:00:00,34.2957261823,3.95890204179,0.0,0.0,9.17985065927,19.4245,101.001525909,68.4430667041,25.0491,7.5093592051
 01/01  16:00:00,34.2849751884,3.95890204179,0.0,0.0,9.17985065927,19.4245,110.875128795,69.3913132752,33.3988,8.08501552018
 01/01  17:00:00,41.713191667,3.95890204179,0.00592161146482,0.0,9.17985065927,26.9147,126.861110573,68.678009083,50.0982,8.08490148961
 01/01  18:00:00,44.8932111644,3.95890204179,0.0,0.0,9.17985065927,26.9147,130.363300308,69.850839437,50.0982,10.4142608708
 01/01  19:00:00,45.9556566091,3.95890204179,0.0,0.0,9.17985065927,26.9147,129.812802785,66.960028177,50.0982,12.7545746076
 01/01  20:00:00,38.5969436424,3.95890204179,0.0,0.0,9.17985065927,19.4245,114.556455284,67.8231378063,33.3988,13.3345174778
 01/01  21:00:00,38.5766043097,3.95890204179,0.0,0.0,9.17985065927,19.4245,111.376946693,67.5649065779,33.3988,10.4132401147
 01/01  22:00:00,38.5047916152,3.95890204179,0.0,0.0,9.17985065927,19.4245,115.830986622,78.0277190503,25.0491,12.7541675718
 01/01  23:00:00,38.3930039312,3.95890204179,0.0,0.0,9.17985065927,19.4245,114.992231888,87.8783986044,16.6994,10.414433284
 01/01  24:00:00,39.2005869678,3.95890204179,0.0,0.0,9.17985065927,19.4245,105.067302487,90.9508309095,8.3497,5.76677157798
 01/02  01:00:00,22.4411199185,3.95890204179,0.0,0.0,4.58992532963,8.1892,107.553367938,99.0209049464,3.33988,5.19258299122
 01/02  02:00:00,14.642235658,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.6641302284,0.0,0.0,0.0,1.52997510988,7.4902,3.93197385855,0.0,3.33988,0.592093858549
 01/02  04:00:00,14.6768040034,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8274856205,0.0,0.0,0.0,1.52997510988,7.4902,3.93192800831,0.0,3.33988,0.592048008305
 01/02  06:00:00,22.5529804043,3.95890204179,0.00304547609178,0.0,4.58992532963,8.1892,117.651886537,109.282186537,8.3497,0.02
 01/02  07:00:00,38.5149353036,3.95890204179,0.0121596191307,0.0,9.17985065927,19.4245,125.686882143,104.949691835,16.6994,4.03779030888
 01/02  08:00:00,42.8093663891,3.95890204179,0.0141743295619,0.0,9.17985065927,26.9147,137.604747507,96.8693669171,25.0491,15.6862805895
