Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,653.378376562,96.1396825039,216.981332326,0.0,34.9616554283,113.312780494,788.924711353,774.539687506,5.66466996096,8.72035388595
 01/01  02:00:00,652.669769512,96.1396825039,224.132546091,0.0,34.9616554283,113.312780494,784.480701936,761.395372814,5.66466996096,17.4206591612
 01/01  03:00:00,656.276135184,96.1396825039,225.115016845,0.0,34.9616554283,113.312780494,789.174259549,766.090182129,5.66466996096,17.4194074588
 01/01  04:00:00,658.100164663,96.1396825039,225.4825177,0.0,34.9616554283,113.312780494,784.541271261,770.155430056,5.66466996096,8.72117124465
 01/01  05:00:00,668.345451482,96.1396825039,225.644579683,0.0,44.4937663224,113.312780494,785.649983926,762.566189645,5.66466996096,17.4191243195
 01/01  06:00:00,670.252079737,96.1396825039,226.065850675,0.0,44.4937663224,113.312780494,795.462065178,763.879454354,14.1616749024,17.4209359214
 01/01  07:00:00,740.911226589,96.1396825039,226.034241972,0.0,54.0258772165,176.889270242,734.143273506,697.10100627,28.3233498048,8.71891743112
 01/01  08:00:00,741.040773151,96.1396825039,226.303064988,0.0,54.0258772165,184.38654557,749.920796185,690.015139027,42.4850247072,17.4206324508
 01/01  09:00:00,823.420435327,96.1396825039,227.193467778,0.0,65.1572554096,220.04316451,737.175269153,663.029176785,56.6466996096,17.4993927586
 01/01  10:00:00,827.409853865,96.1396825039,234.090311726,0.0,65.1572554096,212.545889182,712.975313639,644.125750213,42.4850247072,26.3645387196
 01/01  11:00:00,847.080313926,96.1396825039,244.513548287,0.0,65.1572554096,220.04316451,710.39580362,613.105881833,70.808374512,26.4815472748
 01/01  12:00:00,860.684476699,96.1396825039,255.824782982,0.0,65.1572554096,220.04316451,695.174501663,589.057197403,70.808374512,35.3089297489
 01/01  13:00:00,870.960932612,96.1396825039,267.752100436,0.0,65.1572554096,220.04316451,659.035107705,561.740500277,70.808374512,26.4862329167
 01/01  14:00:00,876.587478654,96.1396825039,283.070667922,0.0,65.1572554096,212.545889182,626.040473906,542.912793851,56.6466996096,26.4809804456
 01/01  15:00:00,892.302939583,96.1396825039,301.084861579,0.0,65.1572554096,212.545889182,597.914343537,520.121293407,42.4850247072,35.3080254234
 01/01  16:00:00,904.777890588,96.1396825039,312.076046202,0.0,65.1572554096,212.545889182,589.614780746,506.482545285,56.6466996096,26.4855358506
 01/01  17:00:00,874.726553211,96.1396825039,306.530357162,0.0,65.1572554096,220.04316451,629.681098132,518.230600205,84.9700494144,26.4804485122
 01/01  18:00:00,823.002405237,96.1396825039,290.299095731,0.0,54.0258772165,184.38654557,680.538970517,569.208414828,84.9700494144,26.3605062748
 01/01  19:00:00,788.150980203,96.1396825039,279.746185386,0.0,44.4937663224,163.454314868,720.062015681,617.671346338,84.9700494144,17.4206199277
 01/01  20:00:00,773.434655556,96.1396825039,270.785946617,0.0,44.4937663224,155.95703954,707.715400901,633.649262604,56.6466996096,17.419438687
 01/01  21:00:00,735.593689692,96.1396825039,263.931969264,0.0,44.4937663224,124.558693486,740.985186414,675.617290038,56.6466996096,8.72119676667
 01/01  22:00:00,723.080161037,96.1396825039,251.401387157,0.0,44.4937663224,124.558693486,764.735873196,704.831676634,42.4850247072,17.4191718556
 01/01  23:00:00,686.5497629,96.1396825039,224.343950376,0.0,34.9616554283,124.558693486,824.431486419,778.687148285,28.3233498048,17.4209883293
 01/01  24:00:00,671.152365053,96.1396825039,209.112944823,0.0,34.9616554283,124.558693486,826.853398739,803.972782565,14.1616749024,8.7189412717
 01/02  01:00:00,667.213795155,96.1396825039,206.772411909,0.0,46.0930336215,113.312780494,824.945275269,801.859731808,5.66466996096,17.4208735002
 01/02  02:00:00,666.296201561,96.1396825039,205.996089902,0.0,46.0930336215,113.312780494,824.468726355,801.384174366,5.66466996096,17.4198820276
 01/02  03:00:00,658.507342395,96.1396825039,200.457991423,0.0,46.0930336215,113.312780494,838.548817845,815.465400816,5.66466996096,17.4187470685
 01/02  04:00:00,646.067566616,96.1396825039,189.891407224,0.0,46.0930336215,113.312780494,856.093376763,841.70790634,5.66466996096,8.72080046183
 01/02  05:00:00,723.227128127,96.1396825039,178.425626269,0.0,100.150657288,148.969399434,851.722974414,828.638144886,5.66466996096,17.4201595661
 01/02  06:00:00,749.515857586,96.1396825039,197.505284205,0.0,100.150657288,149.894399434,1346.96871323,1315.38671118,14.1616749024,17.4203271464
 01/02  07:00:00,958.301492887,96.1396825039,176.692896818,0.0,176.471037341,302.612436532,952.573115543,915.53143856,28.3233498048,8.7183271789
