Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,150.584341148,30.9110934278,26.7658426086,0.0,34.4311606118,33.1021868926,193.409127531,66.7424395068,3.33212,123.334568024
 01/01  02:00:00,146.521295727,30.9110934278,22.6555942497,0.0,34.4311606118,33.1021868926,155.164345409,57.5955093461,3.33212,94.2367160632
 01/01  03:00:00,126.451388401,30.9110934278,20.058589787,0.0,19.466279405,30.610668775,150.097633801,52.5518088942,3.33212,94.2137049064
 01/01  04:00:00,125.193778264,30.9110934278,18.8095498946,0.0,19.466279405,30.610668775,147.339543711,49.792205512,3.33212,94.215218199
 01/01  05:00:00,132.998955717,30.9110934278,20.0429521278,0.0,19.466279405,30.610668775,174.826438626,48.3345771348,3.33212,123.159741491
 01/01  06:00:00,147.108167341,30.9110934278,21.9087217251,0.0,19.466279405,30.610668775,217.144875591,47.6534201039,8.3303,161.161155487
 01/01  07:00:00,227.700668452,30.9110934278,30.9623111582,0.0,42.6918050922,54.3732441037,280.162877206,46.4702626027,16.6606,217.032014604
 01/01  08:00:00,304.869088042,35.7171104266,59.096620694,0.686871218153,49.3960418185,88.5934452969,634.054591045,239.166633746,24.9909,369.897057298
 01/01  09:00:00,347.389344024,35.7038564808,75.7509070878,0.437831266421,57.6566862989,112.030105488,838.457761088,275.93958566,33.3212,529.196975427
 01/01  10:00:00,282.023141919,35.7231304184,66.7151467732,0.250014614335,50.9524495726,81.1684271793,716.948265819,269.292450249,66.8089,380.84691557
 01/01  11:00:00,243.066554854,35.7822904497,72.6863110799,0.222213361172,42.6918050922,68.9656133826,644.863922184,270.057976309,83.4695,291.336445875
 01/01  12:00:00,241.334668309,35.845277796,74.1315911506,0.632368979907,38.286128036,68.9656133826,584.634004594,274.696210499,83.4695,226.468294094
 01/01  13:00:00,236.549483636,35.8707833999,70.5711234824,0.169156835916,38.286128036,68.9656133826,519.462434699,266.0856702,83.4695,169.907264499
 01/01  14:00:00,211.283078121,35.913661949,64.3062194047,0.0,31.5818913096,56.727595265,501.564787622,263.33441965,75.1392,163.091167972
 01/01  15:00:00,208.114336223,35.9657541976,61.0110062881,0.0,31.5818913096,56.727595265,493.836204224,257.642634675,66.8089,169.384669549
 01/01  16:00:00,203.128356913,35.9971974281,55.9726167912,0.0,31.5818913096,56.727595265,490.489298842,252.750146307,75.1392,162.599952536
 01/01  17:00:00,221.993506827,35.7955008515,45.8567612552,0.0,31.5818913096,61.661095265,471.129676039,249.36638403,91.7998,129.963492009
 01/01  18:00:00,250.424265926,35.6863298621,32.8894802274,0.0,31.5818913096,70.9729253606,469.674432609,264.805403246,49.9818,154.887229364
 01/01  19:00:00,320.908246292,35.6863298621,38.9051347569,0.0,80.3315023541,83.7685254822,519.389381066,273.810132382,49.9818,195.597448684
 01/01  20:00:00,331.67404915,35.6863298621,45.7896786438,0.0,102.000620287,77.6748002752,548.030310882,267.143255855,33.3212,247.565855027
 01/01  21:00:00,360.558058147,35.6863298621,54.1904412012,0.0,108.704857014,91.4735406516,545.000334897,263.338686804,33.3212,248.340448093
 01/01  22:00:00,325.845826658,35.6863298621,47.7192964124,0.0,95.2963835608,89.1510273009,544.227800832,265.701168706,24.9909,253.535732126
 01/01  23:00:00,272.859211345,35.6994748262,47.2659652552,0.600748584219,80.3315023541,63.3799339444,677.610480722,292.556724602,16.6606,368.39315612
 01/01  24:00:00,196.010100743,35.6950931715,35.1010694827,0.221452703993,42.6918050922,48.4199368926,544.350718652,320.989977028,8.3303,215.030441624
 01/02  01:00:00,137.977145885,30.9110934278,25.5969211927,0.0,25.5240853573,30.610668775,193.959969552,67.4400511341,3.33212,123.187798418
 01/02  02:00:00,125.02184252,30.9110934278,19.9650157589,0.0,19.418418834,29.3649097162,156.836368419,59.3836655397,3.33212,94.1205828795
 01/02  03:00:00,114.974148511,30.9110934278,17.8218933945,0.0,12.7620426787,28.1191506574,152.393899971,54.9468834175,3.33212,94.1148965536
 01/02  04:00:00,113.369874937,30.9110934278,16.2277259421,0.0,12.7620426787,28.1191506574,150.360255387,52.9194856131,3.33212,94.1086497737
 01/02  05:00:00,120.447512098,30.9110934278,16.7318444709,0.0,12.7620426787,28.1191506574,179.018505467,52.5029039554,3.33212,123.183481511
 01/02  06:00:00,155.164068916,30.9110934278,23.8369576714,0.0,25.5240853573,30.610668775,276.287670319,52.4883161542,8.3303,215.469054165
 01/02  07:00:00,278.985383951,30.9110934278,49.8551887604,0.0,51.0481707146,78.1489452969,437.109934299,50.2769607171,16.6606,370.172373582
 01/02  08:00:00,356.802268693,35.7049794628,75.1470642311,0.119078679273,64.3609230253,109.708623606,808.750556105,290.581973597,24.9909,493.177682508
 01/02  09:00:00,291.630488669,35.7038564808,58.2657308977,0.115598178593,51.0481707146,80.7689615957,736.464313592,323.414935272,33.3212,379.72817832
 01/02  10:00:00,260.255583192,35.7023959293,55.1672375714,0.131790319577,51.0481707146,71.0224615957,653.049678085,299.058866409,66.8089,287.181911676
 01/02  11:00:00,206.160946273,35.7309964501,49.6569748499,0.303890670212,32.1804615127,65.7244621605,601.02657251,291.658657331,83.4695,225.898415179
 01/02  12:00:00,236.521189673,35.7963836274,79.030663114,0.469049341776,32.1804615127,65.7244621605,534.011803171,280.357201424,83.4695,170.185101747
 01/02  13:00:00,262.855702431,35.8557761639,106.39856168,0.0,32.1804615127,65.7244621605,517.985308565,264.583558939,83.4695,169.932249626
 01/02  14:00:00,248.129863065,35.9180425145,101.22014372,0.0,32.1804615127,55.9779621605,493.219799813,254.211954539,75.1392,163.868645274
 01/02  15:00:00,232.192073129,35.9503917856,85.2210314837,0.0,32.1804615127,55.9779621605,484.509243989,249.221393892,66.8089,168.478950097
 01/02  16:00:00,224.884353791,35.9885739302,77.8620892873,0.0,32.1804615127,55.9779621605,480.789320117,242.987398477,75.1392,162.66272164
 01/02  17:00:00,235.451639767,35.7856783415,59.485173363,0.0,32.1804615127,60.9114621605,452.149879212,230.348266086,91.7998,130.001813127
 01/02  18:00:00,259.174196721,35.6863298621,34.5105828105,0.0,32.1804615127,77.5397301883,489.899007141,251.789019361,49.9818,188.12818778
 01/02  19:00:00,317.969448648,35.6863298621,36.599543684,0.0,77.122965704,86.2600435998,664.971933172,274.679205631,49.9818,340.310927541
 01/02  20:00:00,331.559130658,35.6863298621,42.6103100518,0.0,102.647051061,80.1663183927,563.912080266,276.27669527,33.3212,254.314184996
 01/02  21:00:00,368.094965184,35.6863298621,53.8142236847,0.0,115.40909374,92.7192997104,563.528304658,274.983045795,33.3212,255.224058863
 01/02  22:00:00,360.928873144,35.6863298621,70.2227004836,0.0,102.647051061,94.1340635361,670.972025568,275.207924945,24.9909,370.773200623
 01/02  23:00:00,281.782105968,35.6863298621,57.589456374,0.0,77.122965704,65.871452062,585.159787143,288.357179514,16.6606,280.142007628
 01/02  24:00:00,195.397855641,35.6994748262,38.5149249047,0.693194960641,38.286128036,48.4199368926,469.229000832,306.631529906,8.3303,154.267170926
 01/03  01:00:00,142.634881371,30.9110934278,30.2560566071,0.0,25.5240853573,30.610668775,189.974184761,63.4320274593,3.33212,123.210037302
 01/03  02:00:00,129.032428049,30.9110934278,23.9767136152,0.0,19.418418834,29.3649097162,153.424341346,55.9481924261,3.33212,94.14402892
 01/03  03:00:00,117.52400469,30.9110934278,20.3778364121,0.0,12.7620426787,28.1191506574,149.81190203,52.339974504,3.33212,94.1398075258
 01/03  04:00:00,115.227971694,30.9110934278,18.0935617915,0.0,12.7620426787,28.1191506574,148.406862982,50.9395910018,3.33212,94.1351519806
 01/03  05:00:00,122.98770227,30.9110934278,18.6456066593,0.0,12.7620426787,28.1191506574,178.962964086,50.8615345921,3.33212,124.769309494
 01/03  06:00:00,158.564399122,30.9110934278,26.587040962,0.0,25.5240853573,30.610668775,275.998785199,50.9635139897,8.3303,216.704971209
 01/03  07:00:00,284.104510831,30.9110934278,54.2442394173,0.0,51.0481707146,78.1489452969,439.15479025,48.8105259035,16.6606,373.683664346
 01/03  08:00:00,360.968173709,35.6975037516,78.3415917425,0.103134163449,64.3609230253,109.708623606,814.964843927,296.473575577,24.9909,493.500368349
 01/03  09:00:00,298.20554975,35.7038564808,64.1637391317,0.0177616580821,51.0481707146,80.7689615957,738.243304258,326.663290644,33.3212,378.258813614
 01/03  10:00:00,273.997423183,35.7075144207,69.0182212333,0.0452759033123,51.0481707146,71.0224615957,639.303760154,281.314855602,66.8089,291.180004553
 01/03  11:00:00,274.968612971,35.8059204046,118.230947268,0.264966218552,32.1804615127,65.7244621605,570.824195385,261.363018215,83.4695,225.99167717
 01/03  12:00:00,285.883368552,35.9148838788,128.39188627,0.0,32.1804615127,65.7244621605,497.251830747,243.541119863,83.4695,170.241210885
 01/03  13:00:00,269.851531068,36.05434055,112.765682062,0.0,32.1804615127,65.7244621605,475.315410172,221.847447258,83.4695,169.998462914
 01/03  14:00:00,241.560737496,36.1596915754,93.9705463401,0.0,32.1804615127,55.9779621605,446.256267031,208.171910424,75.1392,162.945156608
 01/03  15:00:00,238.592421774,36.2665381859,90.7879191408,0.0,32.1804615127,55.9779621605,434.993530209,198.674745302,66.8089,169.509884907
 01/03  16:00:00,236.791007994,36.3802853809,88.7953314987,0.0,32.1804615127,55.9779621605,424.442185937,186.609790861,75.1392,162.693195076
 01/03  17:00:00,251.915719413,36.0859789877,75.0545370177,0.0,32.1804615127,60.9114621605,394.995482909,173.165508813,91.7998,130.030174096
 01/03  18:00:00,283.877769262,35.6863298621,58.6981756144,0.0,32.1804615127,77.5397301883,421.017245487,182.840156248,49.9818,188.195289239
 01/03  19:00:00,343.192392064,35.6863298621,61.415168182,0.0,77.122965704,86.2600435998,600.080570234,209.034088602,49.9818,341.064681631
 01/03  20:00:00,338.693567336,35.6863298621,50.0102801053,0.0,102.647051061,80.1663183927,517.357892476,230.003773214,33.3212,254.032919262
 01/03  21:00:00,371.07088199,35.6863298621,57.1180809399,0.0,115.40909374,92.7192997104,531.300412876,242.622335484,33.3212,255.356877392
 01/03  22:00:00,370.395352495,35.6863298621,79.9127359191,0.0,102.647051061,94.1340635361,634.380456425,238.229934279,24.9909,371.159622146
 01/03  23:00:00,280.387987404,35.6863298621,56.2153469647,0.0,77.122965704,65.871452062,545.105577324,248.087331942,16.6606,280.357645382
 01/03  24:00:00,212.002269305,35.6863298621,55.8275232012,0.0,38.286128036,48.4199368926,422.917556519,260.285480359,8.3303,154.30177616
 01/04  01:00:00,140.442303981,30.9110934278,28.0355307999,0.0,25.5240853573,30.610668775,187.553063158,54.4878128408,3.33212,129.733130317
 01/04  02:00:00,129.414988937,30.9110934278,24.3342405188,0.0,19.418418834,29.3649097162,144.358779501,46.8893731073,3.33212,94.137286394
 01/04  03:00:00,119.990833847,30.9110934278,22.8196239798,0.0,12.7620426787,28.1191506574,140.145950615,42.67830228,3.33212,94.1355283352
 01/04  04:00:00,118.943544877,30.9110934278,21.78234747,0.0,12.7620426787,28.1191506574,136.421429314,40.559991915,3.33212,92.529317399
 01/04  05:00:00,126.096819921,30.9110934278,22.3624382761,0.0,12.7620426787,28.1191506574,168.634613616,40.4035078169,3.33212,124.898985799
 01/04  06:00:00,161.312487856,30.9110934278,29.9646255044,0.0,25.5240853573,30.610668775,264.789365973,40.7962497155,8.3303,215.662816258
 01/04  07:00:00,285.721185783,30.9110934278,56.5851433352,0.0,51.0481707146,78.1489452969,426.79696524,39.2785876284,16.6606,370.857777612
 01/04  08:00:00,365.996115313,35.6969037244,84.566979339,0.0,64.3609230253,109.708623606,750.402777072,230.775736759,24.9909,494.636140313
 01/04  09:00:00,345.289393548,35.6863298621,112.048791753,0.0,51.0481707146,80.7689615957,663.302905838,244.894934108,33.3212,385.08677173
 01/04  10:00:00,348.344805163,35.9776182227,142.461046391,0.0,51.0481707146,71.0224615957,551.026982006,199.746138818,66.8089,284.471943188
 01/04  11:00:00,268.515168864,36.2800867434,110.840975033,0.0,32.1804615127,65.7244621605,482.42945021,166.478251027,83.4695,232.481699183
 01/04  12:00:00,260.267413405,36.3650418186,102.528617468,0.0,32.1804615127,65.7244621605,326.741656061,73.1285091935,83.4695,170.143646867
 01/04  13:00:00,264.344356418,36.4048084891,107.296139779,0.0,32.1804615127,65.7244621605,291.719225822,44.8780757631,83.4695,163.371650058
 01/04  14:00:00,263.114016191,36.4413257013,115.622927904,0.0,32.1804615127,55.9779621605,270.432297937,25.5075781046,75.1392,169.785519832
