Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,108.92762491,23.0544130445,11.2313117362,11.4957060982,4.12243109448,15.9888894789,98.3763502512,95.3846198333,2.97173041782,0.02
 01/02  02:00:00,98.6106042554,19.2826611154,9.5555292809,11.4709156515,4.12243109448,15.9888894789,84.6289575329,81.6372271151,2.97173041782,0.02
 01/02  03:00:00,116.124272284,24.1033263942,11.7231866305,16.4046899579,4.12243109448,15.9888894789,106.616042068,103.62431165,2.97173041782,0.02
 01/02  04:00:00,99.6672132772,19.2826611154,8.79678004073,14.1105971369,4.12243109448,15.9888894789,86.5852232292,83.5934928114,2.97173041782,0.02
 01/02  05:00:00,142.086758398,28.5000902035,11.2224095746,16.31083707,12.3672932834,24.9413748627,122.622153577,117.649269547,4.9528840297,0.02
 01/02  06:00:00,173.434518941,28.0834896533,14.530545287,43.6249015746,12.3672932834,24.9413748627,191.741932335,186.769048305,4.9528840297,0.02
 01/02  07:00:00,226.96451149,28.9789845724,8.2458564863,44.3005750914,24.7345865669,70.7195625826,190.224366283,180.298598224,9.90576805939,0.02
 01/02  08:00:00,237.853368219,29.0342048355,8.03934684948,32.0768900875,37.1018798503,92.3937384068,173.220310899,163.29454284,9.90576805939,0.02
 01/02  09:00:00,239.161739259,29.0533445487,8.71366189895,26.2205764264,37.1018798503,104.434947198,162.672257205,152.746489145,9.90576805939,0.02
 01/02  10:00:00,248.289543374,29.0677584438,9.87088742382,21.8896311833,37.1018798503,116.476155989,161.472685599,142.939280992,9.90576805939,8.62763654768
 01/02  11:00:00,245.274582536,29.1049781376,11.023565282,18.3453070318,37.1018798503,116.476155989,143.753841259,133.828073199,9.90576805939,0.02
 01/02  12:00:00,242.122281684,29.1505908818,12.1723495739,15.1494551377,37.1018798503,116.476155989,143.343987843,124.806120903,9.90576805939,8.63209888014
 01/02  13:00:00,228.087771273,29.197806071,13.3306517273,12.5483761667,37.1018798503,104.434947198,126.296159505,116.370391446,9.90576805939,0.02
 01/02  14:00:00,237.056673246,29.2597430547,14.1627370647,10.7230169988,37.1018798503,116.476155989,118.540611914,108.614843854,9.90576805939,0.02
 01/02  15:00:00,236.69437772,29.3034583074,14.4290456339,9.25216251026,37.1018798503,116.476155989,122.731641665,104.193546307,9.90576805939,8.63232729893
 01/02  16:00:00,236.037289084,29.3374013803,14.8006472209,8.27306717592,37.1018798503,116.476155989,111.172175435,101.246407375,9.90576805939,0.02
 01/02  17:00:00,234.338360188,29.3268757389,14.3251862671,7.82414021298,37.1018798503,116.476155989,121.309883201,102.777713178,9.90576805939,8.62640196352
 01/02  18:00:00,246.515606547,29.2964600127,13.1301809627,8.29766303889,37.1018798503,116.476155989,120.301083698,110.375315639,9.90576805939,0.02
 01/02  19:00:00,160.432558254,27.3696862845,12.6039195135,0.0279996528593,24.7345865669,47.5788473902,84.6525304879,79.6796464582,4.9528840297,0.02
 01/02  20:00:00,161.696439607,27.7935877541,12.987832516,0.275298157393,24.7345865669,47.5788473902,89.8800342381,84.9071502084,4.9528840297,0.02
 01/02  21:00:00,139.079236596,27.2283857947,10.4900319017,0.640531690932,12.3672932834,38.6892022431,103.453990424,100.462260006,2.97173041782,0.02
 01/02  22:00:00,116.34267774,22.2913903993,10.1904165839,2.22195012019,12.3672932834,27.0668015668,97.8437162143,86.2665752887,2.97173041782,8.6054105078
 01/02  23:00:00,94.1258467026,19.2826611154,10.2018580646,6.00047514631,4.12243109448,15.9888894789,79.3837344799,76.3920040621,2.97173041782,0.02
 01/02  24:00:00,113.06677777,24.1033263942,12.3864503199,10.2810806468,4.12243109448,15.9888894789,101.458014669,98.4662842514,2.97173041782,0.02
 01/03  01:00:00,98.058970088,19.2826611154,9.44699698109,10.2603474107,4.12243109448,15.9888894789,82.7927473585,79.8010169407,2.97173041782,0.02
 01/03  02:00:00,115.422728678,24.1033263942,10.9865138948,14.5799622453,4.12243109448,15.9888894789,104.753524523,101.761794105,2.97173041782,0.02
 01/03  03:00:00,100.2117396,19.2826611154,8.21852074446,13.6866883725,4.12243109448,15.9888894789,85.2493268523,82.2575964345,2.97173041782,0.02
 01/03  04:00:00,117.676339361,24.1033263942,9.73809266054,18.1417401533,4.12243109448,15.9888894789,107.558026613,104.566296195,2.97173041782,0.02
 01/03  05:00:00,138.499001861,28.0761887339,8.02798243434,13.4499177823,12.3672932834,24.9413748627,121.488285186,116.515401156,4.9528840297,0.02
 01/03  06:00:00,187.174542022,28.5075953409,14.4077334626,54.4254041364,12.3672932834,24.9413748627,191.723638551,186.750754521,4.9528840297,0.02
 01/03  07:00:00,226.124965383,28.9735720713,6.87708703552,43.9415849893,24.7345865669,70.7195625826,195.102862884,185.177094825,9.90576805939,0.02
 01/03  08:00:00,236.385339212,29.0325967413,6.88398453582,32.6734109851,37.1018798503,92.3937384068,177.951482836,168.025714776,9.90576805939,0.02
 01/03  09:00:00,234.983685009,29.0524946486,8.59171996665,26.7829135682,37.1018798503,104.434947198,164.545748891,154.619980832,9.90576805939,0.02
 01/03  10:00:00,242.206723265,29.0742266492,11.1492991539,21.238503628,37.1018798503,116.476155989,157.098692766,138.56523033,9.90576805939,8.62769437633
 01/03  11:00:00,238.083485724,29.1336593952,13.0922152141,16.3833191829,37.1018798503,116.476155989,134.292956123,124.367188064,9.90576805939,0.02
 01/03  12:00:00,236.049942974,29.2100132617,14.8237977743,13.1963137254,37.1018798503,116.476155989,130.419248448,111.879551776,9.90576805939,8.6339286129
 01/03  13:00:00,224.291917364,29.3007113355,16.7438984019,10.7388668189,37.1018798503,104.434947198,110.89085666,100.9650886,9.90576805939,0.02
 01/03  14:00:00,234.39680877,29.3930250354,18.5022096577,8.9322945452,37.1018798503,116.476155989,115.992418724,97.4527287351,9.90576805939,8.63392192936
 01/03  15:00:00,235.133983565,29.5251744237,20.2377507994,7.5501828672,37.1018798503,116.476155989,105.058747012,95.1329789531,9.90576805939,0.02
