Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.621035921,3.15895581169,3.1024290865,0.0,15.863942322,29.242365,48.6903546051,45.4646746051,3.20568,0.02
 01/01  02:00:00,60.9845435345,2.84671172902,2.78100455214,0.0,15.863942322,29.242365,45.79348469,42.56780469,3.20568,0.02
 01/01  03:00:00,63.0361715466,4.16545281149,3.50407331581,0.0,15.863942322,29.242365,72.088471013,66.0000387348,3.20568,2.88275227816
 01/01  04:00:00,61.6050489015,3.44614537479,2.80019289754,0.0,15.863942322,29.242365,58.1140430807,54.8883630807,3.20568,0.02
 01/01  05:00:00,63.1650233877,4.10959736685,3.47290637483,0.0,15.863942322,29.242365,73.2608112027,70.0351312027,3.20568,0.02
 01/01  06:00:00,61.7454242652,3.39028993016,2.79522343021,0.0,15.863942322,29.242365,63.2946839648,57.2062670431,3.20568,2.88273692177
 01/01  07:00:00,63.2131374198,4.15700700252,3.4713483365,0.0,15.863942322,29.242365,77.16770089,73.94202089,3.20568,0.02
 01/01  08:00:00,55.813158728,3.22272359627,2.80513297676,0.0,15.863942322,29.242365,52.0131083085,45.9247066887,3.20568,2.88272161982
 01/01  09:00:00,52.9553473826,2.58077799838,3.44393241901,0.0,15.863942322,29.242365,38.3640639615,35.1383839615,3.20568,0.02
 01/01  10:00:00,52.0156421828,2.39277220835,2.68888610026,0.0,15.863942322,29.242365,39.5941684512,33.5042012643,3.20568,2.8842871869
 01/01  11:00:00,50.9664018731,1.36012140535,2.68569165402,0.0,15.863942322,29.242365,16.9053454045,13.6796654045,3.20568,0.02
 01/01  12:00:00,51.718202458,1.36012140535,2.71855845509,0.0,15.863942322,29.242365,14.9558499681,8.8660700376,3.20568,2.88409993053
 01/01  13:00:00,47.9123189468,0.340030351338,0.680779892256,0.0,15.863942322,29.242365,4.66583820657,1.44015820657,3.20568,0.02
 01/01  14:00:00,46.9314471998,0.0,0.0,0.0,15.863942322,29.242365,6.08992984004,0.0,3.20568,2.88424984004
 01/01  15:00:00,46.9510222528,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9445011061,0.0,0.0,0.0,15.863942322,29.242365,6.08832040189,0.0,3.20568,2.88264040189
 01/01  17:00:00,46.8460526548,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,53.9904236212,0.0,0.0,0.0,15.863942322,29.242365,6.08837974742,0.0,3.20568,2.88269974742
 01/01  19:00:00,55.4193219407,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6321378671,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6162048242,0.0,0.0,0.0,15.863942322,29.242365,6.08843902261,0.0,3.20568,2.88275902261
 01/01  22:00:00,59.8083718336,1.36012140535,2.94030798386,0.0,15.863942322,29.242365,11.2156685875,7.98998858746,3.20568,0.02
