Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.4962497139,2.14795952846,0.0,0.0,1.85583932782,5.577,52.918935849,48.1785753069,3.0011,1.73926054212
 01/01  02:00:00,9.48608151819,0.0,0.0,0.0,0.618613109274,5.0,3.59317691353,0.0,3.0011,0.592076913525
 01/01  03:00:00,9.5119761093,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.52596119528,0.0,0.0,0.0,0.618613109274,5.0,3.59315695706,0.0,3.0011,0.592056957059
 01/01  05:00:00,9.67721998613,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6523703773,2.14795952846,0.0,0.0,1.85583932782,5.577,54.8654604048,49.7717475221,4.50165,0.5920628827
 01/01  07:00:00,28.1268211575,2.14795952846,0.0,0.0,3.71167865564,18.077,57.8059183141,43.1357480451,13.50495,1.16522026898
 01/01  08:00:00,26.1848577549,2.14795952846,0.0,0.0,3.71167865564,18.077,61.8973630808,39.7245926328,21.0077,1.16507044807
 01/01  09:00:00,20.5483477013,2.14795952846,0.0,0.0,3.71167865564,13.077,57.8214549711,41.0779825517,15.0055,1.73797241944
 01/01  10:00:00,20.5550452309,2.14795952846,0.0,0.0,3.71167865564,13.077,56.2760454513,40.1054177952,15.0055,1.16512765612
 01/01  11:00:00,25.5502269726,2.14795952846,0.0,0.0,3.71167865564,18.077,72.8173029625,35.7669749095,33.0121,4.03822805305
 01/01  12:00:00,26.7090359248,2.14795952846,0.0,0.0,3.71167865564,18.077,77.053949975,31.9268414009,40.51485,4.6122585741
 01/01  13:00:00,25.7750783979,2.14795952846,0.0,0.0,3.71167865564,18.077,68.0202001558,29.1185620302,36.0132,2.88843812564
 01/01  14:00:00,25.5767227918,2.14795952846,0.0,0.0,3.71167865564,18.077,63.0286076788,28.0553517484,31.51155,3.46170593036
 01/01  15:00:00,20.5793094264,2.14795952846,0.0,0.0,3.71167865564,13.077,52.3351045964,28.4410222094,21.0077,2.88638238701
 01/01  16:00:00,20.5660449509,2.14795952846,0.0,0.0,3.71167865564,13.077,50.4935889768,28.6737303671,19.50715,2.31270860968
 01/01  17:00:00,20.4823756973,2.14795952846,0.0,0.0,3.71167865564,13.077,55.1258242497,29.7313101067,22.50825,2.88626414305
 01/01  18:00:00,27.3821847631,2.14795952846,0.0,0.0,3.71167865564,18.077,58.4063832983,30.008506367,25.50935,2.88852693135
 01/01  19:00:00,28.0182206011,2.14795952846,0.0,0.0,3.71167865564,18.077,58.6149211212,29.0680907774,25.50935,4.03748034381
 01/01  20:00:00,28.1608237726,2.14795952846,0.0,0.0,3.71167865564,18.077,60.0064566581,29.8852666624,25.50935,4.61183999566
 01/01  21:00:00,23.1436165366,2.14795952846,0.0,0.0,3.71167865564,13.077,57.0604175228,31.6644487796,22.50825,2.88771874318
 01/01  22:00:00,23.0767997012,2.14795952846,0.0,0.0,3.71167865564,13.077,59.0733451528,34.028016226,21.0077,4.03762892676
 01/01  23:00:00,22.9731406823,2.14795952846,0.0,0.0,3.71167865564,13.077,60.7013433109,39.2329811574,18.0066,3.46176215347
