Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,193.153346383,13.9028301674,60.7479987804,0.0,43.513341876,52.539744,141.072290697,136.218030697,4.83426,0.02
 01/01  02:00:00,196.95899416,26.4550686942,52.1752443945,0.0,43.513341876,52.539744,118.860313995,114.006053995,4.83426,0.02
 01/01  03:00:00,205.602117935,22.1929129363,64.8068292381,0.0,43.513341876,52.539744,165.772572976,160.918312976,4.83426,0.02
 01/01  04:00:00,201.910650968,31.2499892602,52.3219197301,0.0,43.513341876,52.539744,123.473378392,118.619118392,4.83426,0.02
 01/01  05:00:00,201.531252285,17.8922531644,64.5966264634,0.0,43.513341876,52.539744,171.244654794,166.390394794,4.83426,0.02
 01/01  06:00:00,204.477056563,33.4227645947,52.309934816,0.0,43.513341876,52.539744,134.989486569,121.544083044,4.83426,8.61114352485
 01/01  07:00:00,202.551963606,19.0905728897,64.4121371806,0.0,43.513341876,52.539744,170.157314399,165.303054399,4.83426,0.02
 01/01  08:00:00,190.355519388,31.1010969479,52.585702903,0.0,43.513341876,52.539744,98.216772301,93.362512301,4.83426,0.02
 01/01  09:00:00,182.781776746,16.5517021106,65.2777029177,0.0,43.513341876,52.539744,128.83753107,123.98327107,4.83426,0.02
 01/01  10:00:00,161.922287192,8.47850170587,52.7251789915,0.0,43.513341876,52.539744,88.3208051045,83.4665451045,4.83426,0.02
 01/01  11:00:00,181.449522538,13.8928149889,66.6151945758,0.0,43.513341876,52.539744,115.865451133,102.412605516,4.83426,8.61858561743
 01/01  12:00:00,159.898044458,3.98480273623,54.2747642796,0.0,43.513341876,52.539744,70.8294726781,65.9752126781,4.83426,0.02
 01/01  13:00:00,175.405932236,4.98100342028,69.5454952417,0.0,43.513341876,52.539744,70.7748968216,65.9206368216,4.83426,0.02
 01/01  14:00:00,162.033005193,3.98480273623,57.3360889044,0.0,43.513341876,52.539744,50.7981802538,37.3455439447,4.83426,8.61837630912
 01/01  15:00:00,179.994657246,4.98100342028,74.0167028876,0.0,43.513341876,52.539744,38.2874768289,33.4332168289,4.83426,0.02
