Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,41.8584520939,5.60699554269,0.0512931605041,5.63391384818,12.925468867,10.100111941,41.6035619838,41.5835619838,0.0,0.02
 01/01  02:00:00,43.1411496484,5.67692991318,0.0450194346135,6.85411243403,12.925468867,10.100111941,47.3635101997,41.605364805,0.0,5.75814539464
 01/01  03:00:00,40.0418417676,5.75892988455,0.0353301768967,8.30153340896,8.34152022915,10.0650221343,42.2750394352,42.2550394352,0.0,0.02
 01/01  04:00:00,40.8757131457,5.80379821216,0.0290145140733,9.09685177823,8.34152022915,10.0650221343,48.5154112369,42.7569954275,0.0,5.75841580935
 01/01  05:00:00,42.9898123655,5.83092530871,0.023874855631,9.58229652632,8.34152022915,11.6705166398,48.8629061853,43.0986503028,0.0,5.76425588258
 01/01  06:00:00,47.5739613873,5.85375068336,0.0195234904273,9.98961625672,8.80141237637,15.3678112995,48.2336826098,42.4636483453,0.0,5.7700342645
 01/01  07:00:00,65.976043742,5.76417113354,0.0282917839552,8.49581364019,18.5082010057,25.6353820695,47.1054648263,41.3250190772,0.0,5.78044574905
 01/01  08:00:00,73.8513723687,5.61026799157,0.216030331857,5.53427564776,19.4926561212,41.1001056674,50.7676221576,39.1651581598,0.0,11.6024639978
 01/01  09:00:00,94.0690888409,5.58467673231,1.81767891563,2.30237287156,26.3286599382,57.9988325916,67.6508558098,32.1850553267,0.0,35.4658004832
 01/01  10:00:00,81.0000914553,5.54195940376,2.65151771273,3.7159127287,26.2443270014,42.8153538416,78.1443910071,30.7187338675,18.025,29.4006571396
 01/01  11:00:00,59.8171588044,5.65966626013,2.39422287402,6.54732879813,21.7447113004,23.4437158914,72.3498827327,30.8710137357,18.025,23.453868997
 01/01  12:00:00,57.344145818,5.65959145157,2.43212494133,6.438624338,19.3449162599,23.4437158914,71.3452957845,29.9164540795,18.025,23.403841705
 01/01  13:00:00,55.8649589572,5.58343612971,2.30338767599,5.02226473999,19.190480192,23.7425572507,70.0066451616,28.6300079197,18.025,23.3516372418
 01/01  14:00:00,54.648937898,5.52285034181,2.39421851096,3.74987093996,19.260583323,23.698576057,60.4444695902,24.9029821681,18.025,17.5164874221
 01/01  15:00:00,53.783195943,5.48649280114,2.59858424695,2.71612926337,19.260583323,23.698576057,64.4400390602,23.0606406735,18.025,23.3543983867
 01/01  16:00:00,53.0948111151,5.47021417151,2.6823485634,2.25020225942,19.260583323,23.4086260847,64.8502594835,23.4789915643,18.025,23.3462679192
 01/01  17:00:00,56.4794481722,5.45154024362,1.73268895274,2.15185478186,19.260583323,27.8781056672,42.1111520887,24.0661520887,18.025,0.02
 01/01  18:00:00,68.8277698522,5.44258682019,0.444307331159,1.52298199513,18.1807569449,37.5792895564,31.7945091658,26.0245614362,0.0,5.76994772965
 01/01  19:00:00,84.5171540545,5.47908548239,1.0662816277,0.776263087455,32.6059821062,37.0465235296,36.2619884079,30.4863744882,0.0,5.77561391975
 01/01  20:00:00,85.1347217186,5.52743136959,1.50820563537,0.672370935938,36.8143715336,33.066984531,43.3445951101,31.7901539636,0.0,11.5544411465
 01/01  21:00:00,91.1810106448,5.61763068667,2.23611730222,0.541046831111,36.43363367,38.8072253906,44.4455072438,33.3268831737,0.0,11.1186240701
 01/01  22:00:00,88.9378864449,5.62303609983,2.1775116014,0.707835002698,36.0963922311,36.7877557581,41.3507558794,35.1290144617,0.0,6.2217414177
 01/01  23:00:00,66.9107220566,5.47294177978,0.771926627277,1.55626409151,30.9507766546,20.6087787026,50.6665776703,39.0653764862,0.0,11.6012011841
 01/01  24:00:00,46.0675322996,5.50391938365,0.0829634866293,3.80576865702,17.4250845679,11.7056064465,53.3200335288,41.7764381038,0.0,11.543595425
 01/02  01:00:00,41.1502929504,5.63914312799,0.0488792284559,6.21533089479,11.6412384099,10.0650221343,43.1319989904,43.1119989904,0.0,0.02
 01/02  02:00:00,41.526256157,5.74228092458,0.0396587574908,8.05812785725,10.0992000411,10.047477231,49.8641978029,44.1058434523,0.0,5.75835435061
 01/02  03:00:00,41.3871468606,5.83265465827,0.0311731176296,9.69668673352,8.25718729233,10.0299323277,51.2732947803,45.5149016224,0.0,5.75839315794
 01/02  04:00:00,42.8746395943,5.90998123054,0.0241236973872,11.1139066629,8.25718729233,10.0299323277,47.3490725895,47.3290725895,0.0,0.02
 01/02  05:00:00,45.9235928511,5.98522227131,0.0177384555561,12.4873360016,8.25718729233,11.6354268332,54.8454876274,49.0814686737,0.0,5.76401895371
 01/02  06:00:00,53.9825340492,6.00600989349,0.0157402817029,12.9476500119,12.1011305571,15.3678112995,54.5600283385,48.7781560277,0.0,5.78187231075
 01/02  07:00:00,78.9643502245,5.74906512158,0.113780380259,8.55979883772,19.7275818095,37.2640762949,65.6085187148,48.2181313431,0.0,17.3903873717
 01/02  08:00:00,89.6188871143,5.66982052243,0.977900652871,5.47711319344,24.3117294858,51.2795993405,63.2367316022,45.7714650453,0.0,17.4652665569
 01/02  09:00:00,78.7911746479,5.74454657063,0.300245872,8.41168551219,23.6694662846,40.6342015617,59.5483241602,36.0189429186,0.0,23.5293812416
 01/02  10:00:00,74.9345419488,5.72081692777,2.23945183434,7.64707244383,23.6694662846,35.6302164847,80.0234145585,32.6906502313,18.025,29.3077643272
