Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,75.4804084259,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,82.7266199216,7.30753909079,0.0,0.0,3.49369000822,6.81298672936,19.4874156129,17.7161656129,1.75125,0.02
 01/01  03:00:00,82.9643094754,7.34988152597,0.0,0.0,3.49369000822,6.81298672936,22.0745921625,19.1590070236,1.75125,1.16433513888
 01/01  04:00:00,86.8875646669,11.3423905528,0.0,0.0,3.49369000822,6.81298672936,35.1565313868,33.3852813868,1.75125,0.02
 01/01  05:00:00,93.4466468768,11.2153632473,0.0,0.0,3.49369000822,6.81298672936,35.5614891721,33.7902391721,1.75125,0.02
 01/01  06:00:00,89.4149296565,7.6886210074,0.0,0.0,3.49369000822,6.81298672936,24.5872284674,21.6716854239,1.75125,1.16429304348
 01/01  07:00:00,120.578898022,25.4437388063,0.0,0.0,6.98738001645,14.1499734587,494.212539774,490.690039774,3.5025,0.02
 01/01  08:00:00,119.571248888,25.4437388063,0.0,0.0,6.98738001645,14.1499734587,454.739845562,451.217345562,3.5025,0.02
 01/01  09:00:00,151.457134643,25.4437388063,0.0,0.0,6.98738001645,14.1499734587,404.56658096,399.899687653,3.5025,1.16439330684
 01/01  10:00:00,124.14542428,25.4437388063,0.0,0.0,6.98738001645,14.1499734587,391.559971138,388.037471138,3.5025,0.02
 01/01  11:00:00,158.681697136,25.4437388063,0.0,0.0,27.9495200658,27.7759469175,359.005105787,350.835335492,7.005,1.16477029512
 01/01  12:00:00,189.92924167,25.4437388063,0.0,0.0,27.9495200658,27.7759469175,342.373105631,334.203376251,7.005,1.16472938075
 01/01  13:00:00,197.024609246,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,307.937883393,298.577883393,9.34,0.02
 01/01  14:00:00,194.430074514,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,292.905248632,282.400405731,9.34,1.16484290106
 01/01  15:00:00,190.765631168,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,278.22975427,267.724931454,9.34,1.16482281589
 01/01  16:00:00,187.452775199,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,270.655313353,260.150471475,9.34,1.16484187829
 01/01  17:00:00,187.35864486,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,272.179233715,261.674317487,9.34,1.16491622878
 01/01  18:00:00,169.011431638,25.4437388063,0.0,0.0,27.9495200658,27.7759469175,322.90092301,315.87592301,7.005,0.02
 01/01  19:00:00,178.766287536,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,344.120519315,338.285849564,4.67,1.16466975058
 01/01  20:00:00,158.776459289,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,353.122155093,347.287462741,4.67,1.16469235144
 01/01  21:00:00,150.00577466,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,357.831113571,353.141113571,4.67,0.02
 01/01  22:00:00,135.720530427,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,326.505471741,320.670974856,4.67,1.16449688476
 01/01  23:00:00,77.2214480465,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,112.94180519,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554286866,0.0,1.75125,1.16429286866
 01/02  01:00:00,84.0933474531,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,84.9947947371,7.30753909079,0.0,0.0,3.49369000822,9.08398230582,21.1068871141,18.7518871141,2.335,0.02
 01/02  03:00:00,88.8461095653,11.2153632473,0.0,0.0,3.49369000822,9.08398230582,31.9473196555,29.5923196555,2.335,0.02
 01/02  04:00:00,88.7669737977,11.2153632473,0.0,0.0,3.49369000822,9.08398230582,39.054289923,35.5550473311,2.335,1.16424259195
 01/02  05:00:00,92.3284572534,8.1765845083,0.0,0.0,3.49369000822,9.08398230582,28.5982285415,26.2432285415,2.335,0.02
 01/02  06:00:00,98.0609803293,14.5214175379,0.0,0.0,3.49369000822,9.08398230582,51.0746769786,48.7196769786,2.335,0.02
 01/02  07:00:00,134.739923202,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,491.624073965,485.789811465,4.67,1.16426249946
 01/02  08:00:00,133.471920704,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,453.277854945,448.587854945,4.67,0.02
 01/02  09:00:00,206.240557171,25.4437388063,0.0,0.0,34.9369000822,32.3179380704,405.444023398,396.106933465,8.1725,1.1645899326
 01/02  10:00:00,230.288348353,25.4437388063,0.0,0.0,62.886420148,41.4019203762,352.285281655,341.757781655,10.5075,0.02
 01/02  11:00:00,220.508787341,25.4437388063,0.0,0.0,62.886420148,41.4019203762,325.894046564,314.221524048,10.5075,1.16502251619
 01/02  12:00:00,251.373985549,25.4437388063,0.0,0.0,62.886420148,41.4019203762,298.327012282,285.509079588,10.5075,2.31043269393
 01/02  13:00:00,231.110725792,25.4437388063,0.0,0.0,62.886420148,41.4019203762,276.924676678,265.251980893,10.5075,1.16519578457
 01/02  14:00:00,227.949524648,25.4437388063,0.0,0.0,62.886420148,41.4019203762,261.618860812,249.9459543,10.5075,1.16540651226
 01/02  15:00:00,224.152101398,25.4437388063,0.0,0.0,62.886420148,41.4019203762,254.032528899,242.359955011,10.5075,1.16507388833
 01/02  16:00:00,220.836111256,25.4437388063,0.0,0.0,62.886420148,41.4019203762,244.506709591,232.834203589,10.5075,1.16500600176
 01/02  17:00:00,220.782822792,25.4437388063,0.0,0.0,62.886420148,41.4019203762,250.597006887,238.924498159,10.5075,1.16500872813
 01/02  18:00:00,230.946105592,25.4437388063,0.0,0.0,62.886420148,41.4019203762,267.872670575,256.20014377,10.5075,1.16502680552
 01/02  19:00:00,233.706465084,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,282.183774009,271.678861318,9.34,1.16491269086
 01/02  20:00:00,217.559255118,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,295.604044517,285.099214042,9.34,1.16483047504
 01/02  21:00:00,192.613895318,25.4437388063,0.0,0.0,34.9369000822,32.3179380704,305.095718087,295.75842831,8.1725,1.16478977634
 01/02  22:00:00,135.694633631,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,284.801269169,280.111269169,4.67,0.02
 01/02  23:00:00,79.5603156524,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49944732298,0.0,2.335,1.16444732298
 01/02  24:00:00,115.258860955,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,84.3391592941,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,84.9342719596,7.30753909079,0.0,0.0,3.49369000822,9.08398230582,23.7085072174,20.2092182389,2.335,1.16428897852
 01/03  03:00:00,85.2503857419,7.56159370186,0.0,0.0,3.49369000822,9.08398230582,25.2072441945,22.8522441945,2.335,0.02
 01/03  04:00:00,88.8073022225,11.3423905528,0.0,0.0,3.49369000822,9.08398230582,34.7507494381,32.3957494381,2.335,0.02
 01/03  05:00:00,113.256015169,13.2942445564,0.0,0.0,3.49369000822,9.08398230582,52.4021617046,50.0471617046,2.335,0.02
 01/03  06:00:00,111.451330955,11.424460493,0.0,0.0,3.49369000822,9.08398230582,44.5189184532,41.0196427335,2.335,1.16427571977
 01/03  07:00:00,151.091236558,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,505.678276518,500.988276518,4.67,0.02
 01/03  08:00:00,142.622857062,25.4437388063,0.0,0.0,13.9747600329,18.6919646116,466.101195608,460.266744352,4.67,1.16445125614
 01/03  09:00:00,206.364434905,25.4437388063,0.0,0.0,34.9369000822,32.3179380704,405.886540408,397.694040408,8.1725,0.02
 01/03  10:00:00,230.494307031,25.4437388063,0.0,0.0,62.886420148,41.4019203762,339.713717334,328.041487092,10.5075,1.16473024256
 01/03  11:00:00,220.740257089,25.4437388063,0.0,0.0,62.886420148,41.4019203762,302.294399203,290.621958238,10.5075,1.16494096546
 01/03  12:00:00,251.663036562,25.4437388063,0.0359814924711,0.0,62.886420148,41.4019203762,268.181306054,256.508492102,10.5075,1.16531395145
 01/03  13:00:00,231.994823106,25.4437388063,0.0395013664887,0.0,62.886420148,41.4019203762,241.175555571,229.502726279,10.5075,1.16532929211
 01/03  14:00:00,229.060570642,25.4437388063,0.016978896441,0.0,62.886420148,41.4019203762,226.00166158,213.18370528,10.5075,2.31045629995
 01/03  15:00:00,225.414943481,25.4437388063,0.0,0.0,62.886420148,41.4019203762,209.029172098,197.356604546,10.5075,1.16506755212
 01/03  16:00:00,222.381372985,25.4437388063,0.154308258835,0.0,62.886420148,41.4019203762,194.607744258,182.935282073,10.5075,1.16496218455
 01/03  17:00:00,222.326213938,25.4437388063,0.183452587054,0.0,62.886420148,41.4019203762,199.871070601,188.198596965,10.5075,1.16497363599
 01/03  18:00:00,231.96124243,25.4437388063,0.0233290544525,0.0,62.886420148,41.4019203762,219.985935471,208.313434976,10.5075,1.16500049478
 01/03  19:00:00,234.1757899,25.4437388063,0.0,0.0,41.9242800987,36.8599292233,243.544640524,234.184640524,9.34,0.02
