Parameter,Value,Unit,Description,Data_Source,Last_Updated,Effective_Date,Expiration_Date,Notes,Reference_URL
ITC_Rate,30,%,Federal Investment Tax Credit (base rate),"IRS Publication 5817, Inflation Reduction Act Section 48",,2022-08-16,2032-12-31,"Base ITC for solar and storage, steps down to 26% in 2033, 22% in 2034",https://www.irs.gov/credits-deductions/energy-incentive-programs
ITC_Bonus_Domestic,10,%,Domestic content bonus adder,IRS Notice 2023-38,,2023-01-01,,Requires steel/iron manufactured in US and 40%+ manufactured components from US (55% for 2027+),https://www.irs.gov/pub/irs-drop/n-23-38.pdf
ITC_Bonus_Energy_Community,10,%,Energy community bonus adder,IRS Notice 2023-29,,2023-01-01,,"For projects in brownfield sites, coal communities, or fossil fuel employment areas",https://www.irs.gov/pub/irs-drop/n-23-29.pdf
ITC_Bonus_Low_Income,10,%,Low-income community bonus (up to 20% for some projects),IRS Notice 2023-17,,2023-01-01,,"10% for projects in low-income communities, 20% for affordable housing",https://www.irs.gov/pub/irs-drop/n-23-17.pdf
PTC_Rate,0.0275,$/kWh,Production Tax Credit (inflation adjusted for 2024),IRS Revenue Procedure 2024-23,,2024-01-01,,"Alternative to ITC, $27.50/MWh base rate, indexed for inflation",https://www.irs.gov/pub/irs-drop/rp-24-23.pdf
Discount_Rate,7.5,%,Weighted average cost of capital (WACC) for NPV calculations,"Industry standard 2024, NREL ATB",,,,Typical range 6-9% for utility-scale projects,https://atb.nrel.gov/electricity/2024/financial_cases
Inflation_Rate,2.4,%,Long-term inflation assumption,"Federal Reserve FOMC target, BLS CPI-U Dec 2024",2024-12-15,,,"Fed target is 2%, current 12-month average ~2.4%",https://www.bls.gov/cpi/
Electricity_Escalation,2.8,%,Annual utility rate increase assumption,"EIA Annual Energy Outlook 2024, historical average",,,,"Historical average 2.5-3.2%, varies by region",https://www.eia.gov/outlooks/aeo/
Project_Lifetime,25,years,Standard analysis period for solar+storage,"Industry standard, NREL System Advisor Model default",,,,"Solar warranties typically 25yr, batteries 10-15yr with replacement",https://sam.nrel.gov/
Debt_Ratio,70,%,Typical debt financing percentage,NREL 2024 renewable energy financing report,,,,Range 60-80% for investment-grade projects,https://www.nrel.gov/analysis/tech-fin-update.html
Interest_Rate,5.8,%,Commercial loan interest rate for renewable projects,"Federal Reserve H.15 Selected Interest Rates, Jan 2025",2025-01-15,,,"Prime rate 8.5%, renewable projects typically prime - 2.5-3%",https://www.federalreserve.gov/releases/h15/
Loan_Term,15,years,Standard loan duration for renewable energy projects,Industry standard,,,,Range typically 10-20 years,https://www.energy.gov/lpo/loan-programs-office
MACRS_Schedule,5,years,Modified Accelerated Cost Recovery System schedule,"IRS Publication 946, Table B-1",,,,Solar and storage qualify for 5-year MACRS depreciation,https://www.irs.gov/publications/p946
O&M_Solar,14,$/kW-year,Annual operations and maintenance cost for solar,NREL 2024 Solar O&M Cost Model,,,,"Includes cleaning, inspections, inverter maintenance",https://www.nrel.gov/docs/fy24osti/88880.pdf
O&M_Battery,9,$/kWh-year,Annual O&M cost for battery storage,NREL 2024 Energy Storage Cost Benchmark,,,,"Includes monitoring, testing, thermal management",https://www.nrel.gov/analysis/energy-storage.html
O&M_Generator,0.02,$/kWh,Generator O&M cost per kWh generated,EPA Combined Heat and Power Partnership,,,,"Variable O&M, includes oil changes, filter replacements",https://www.epa.gov/chp
Fuel_Cost_Diesel,3.42,$/gallon,"Diesel fuel price (US average, on-highway)","EIA Weekly Petroleum Status Report, Week ending Jan 20, 2025",2025-01-20,,,Regional variation ±$0.50/gallon,https://www.eia.gov/petroleum/gasdiesel/
Fuel_Cost_NatGas,1.15,$/therm,Natural gas price (US commercial average),"EIA Natural Gas Prices, December 2024",2024-12-31,,,"Commercial rate, varies significantly by region ($0.80-$2.50/therm)",https://www.eia.gov/naturalgas/monthly/
Insurance_Rate,0.45,%,Annual insurance cost as percent of capital cost,Renewable energy insurance market rates 2024,,,,"Covers property, liability, and business interruption",N/A - Industry benchmark
Direct_Pay_Eligible,1,boolean,Tax-exempt entities can receive direct payment,IRA Section 6417,,,,"Available for state/local govts, nonprofits, tribal govts",https://www.irs.gov/credits-deductions/elective-pay
Transferability_Eligible,1,boolean,Tax credits can be transferred/sold,IRA Section 6418,,,,Taxable entities can sell credits to unrelated parties,https://www.irs.gov/credits-deductions/transfer-of-certain-credits
