Profile_Type,Scenario,Location,Month,Month_Number,Energy_Consumption_kWh,Peak_Demand_kW,Average_Demand_kW,Load_Factor,Days_in_Month,Data_Source,Weather_Station,Climate_Zone,Building_Type,Building_SqFt,EUI_kWh_per_sqft,Hour,Time,Period,Day_Type
Residential,BASE,Baton Rouge,January,1.0,1769.9,7.32,2.38,0.325,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,February,2.0,1452.0,6.56,2.16,0.329,28.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,March,3.0,1017.3,3.62,1.37,0.378,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,April,4.0,917.2,2.45,1.27,0.521,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,May,5.0,1133.7,2.91,1.52,0.524,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,June,6.0,1230.5,3.59,1.71,0.476,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,July,7.0,1384.2,3.49,1.86,0.533,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,August,8.0,1309.6,3.83,1.76,0.46,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,September,9.0,1237.6,4.34,1.72,0.396,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,October,10.0,1070.4,3.04,1.44,0.473,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,November,11.0,904.5,2.85,1.26,0.441,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,December,12.0,1509.4,6.24,2.03,0.325,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,ANNUAL,0.0,14936.0,7.32,1.71,0.233,365.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,January,1.0,3558.5,10.96,4.78,0.437,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,February,2.0,2960.1,10.84,4.4,0.406,28.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,March,3.0,2032.7,8.06,2.73,0.339,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,April,4.0,1443.1,4.38,2.0,0.458,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,May,5.0,1925.6,5.11,2.59,0.507,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,June,6.0,2125.3,6.32,2.95,0.467,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,July,7.0,2383.7,5.98,3.2,0.536,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,August,8.0,2268.6,6.66,3.05,0.458,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,September,9.0,2071.1,7.43,2.88,0.387,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,October,10.0,1641.6,5.26,2.21,0.42,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,November,11.0,1231.0,4.73,1.71,0.361,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,December,12.0,3424.3,10.44,4.6,0.441,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,ANNUAL,0.0,27066.0,10.96,3.09,0.282,365.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,January,1.0,683.0,2.96,0.92,0.31,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,February,2.0,573.8,2.74,0.85,0.312,28.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
