Incentive_Type,Status,Value,Unit,Description,Data_Source,Last_Updated,Notes,Reference_URL,Effective_Date,Benefit_Example,Purchase_Rate,Residential_Limit,Commercial_Limit,Limit_Unit,Credit_Treatment,Retail_Rate,Avoided_Cost_Rate,State_Sales_Tax,Local_Sales_Tax_Typical,Total_Tax_Typical,Tax_Unit,Effective_Through,Utility,Program_Name,Administering_Agency,Loan_Amount_Min,Loan_Amount_Max,Eligible_Systems,Interest_Rate,Benefit_Type,Options,Fee_Type,System_Category,System_Size_Min,System_Size_Max,Size_Unit,Fee_Amount,Fee_Unit,Frequency,Process_Time,Fee_Amount_Min,Fee_Amount_Max,Cost_Factors,Equipment_Cost,Installation_Cost,Process,Jurisdiction,Payable_To,Policy,Grandfather_Clause,New_Systems,Impact,Residential_Max,Commercial_Max,Large_System_Process,Application_Review,Customer_Notification,Residential,Commercial,Standards,Inverter_Requirement,Disconnect_Requirement,Requirement,License_Board,Verification
State_Solar_Tax_Credit,NOT_AVAILABLE,0.0,%,Louisiana does NOT have a state-level solar tax credit as of 2025,"DSIRE Database, Louisiana DNR, EnergySage 2025",2025-12-01,"Previous 50% credit (up to $12,500) expired. No current state tax credit.",https://www.energysage.com/local-data/solar-rebates-incentives/la/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Tax_Exemption,AVAILABLE,100.0,%,Full property tax exemption for added value from solar installation,"Louisiana Revised Statutes, DSIRE",,Solar equipment value does NOT increase property tax assessment,https://programs.dsireusa.org/system/program/detail/888,Current,"If solar adds $30,000 to home value, $0 additional property tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net_Billing,AVAILABLE,,$/kWh,Credits for excess solar at utility avoided cost (NOT retail rate),"LPSC General Order R-33929 (Sept 19, 2019), Entergy Louisiana",,"Post-2020 systems get avoided cost (~$0.02-0.03/kWh), NOT retail rate (~$0.11/kWh)",https://www.lpsc.louisiana.gov/Utilities_NetMetering,2020-01-01,,0.02587,25.0,300.0,kW,"Credits carried forward monthly, paid out at avoided cost when service ends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net_Billing_Rate_Comparison,INFORMATIONAL,,$/kWh,Comparison: retail rate paid for grid power vs avoided cost credit for exports,Entergy Louisiana rates 2024-2025,,"You pay $0.11/kWh for imports, get credited $0.03/kWh for exports - 77% reduction",,,,,,,,,0.112,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales_Tax_Exemption,NOT_AVAILABLE,0.0,,Louisiana does NOT offer sales tax exemption for solar equipment,"Louisiana Department of Revenue, DSIRE",,Solar equipment subject to normal state + local sales tax,,,,,,,,,,,4.45,5.0,9.45,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal_ITC,AVAILABLE,30.0,%,Federal Investment Tax Credit (reference - see financial_parameters.csv),"IRS Publication 5817, Inflation Reduction Act",,"This is FEDERAL, not Louisiana state. See financial_parameters for details.",https://www.irs.gov/credits-deductions/residential-clean-energy-credit,,,,,,,,,,,,,,2032-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility_Rebate,NOT_AVAILABLE,,,Entergy Louisiana does NOT offer cash rebates for solar installations,Entergy Louisiana website 2025,,No upfront rebates available; only net billing credits for excess generation,,,,,,,,,,,,,,,,Entergy Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community_Solar,AVAILABLE,,,Subscription solar program for customers who cannot install rooftop solar,Entergy Louisiana Rider GGO,,Not a rebate - customers subscribe to utility-scale solar farms,https://www.entergylouisiana.com/geaux-green,,,,,,,,,,,,,,,Entergy Louisiana,Geaux Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State_Loan_Program,AVAILABLE,,$,Low-interest loans for energy efficiency and solar improvements,"Louisiana DNR, This Old House Louisiana solar guide",,State-sponsored financing option; not a cash rebate,https://www.dnr.louisiana.gov/,,,,,,,,,,,,,,,,Home Energy Loan Program (HELP),Louisiana Department of Natural Resources,6000.0,12000.0,"Solar PV, solar water heating, energy efficiency upgrades",Below-market rate (check DNR for current),"Preferential financing, not grant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing_Options,INFORMATIONAL,,,Various solar financing available through private lenders,Industry standard financing mechanisms,,Louisiana has limited PACE program availability; check local jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,"Solar loans, PACE financing (Property Assessed Clean Energy), leases, PPAs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cost of installing bidirectional meter for net billing,"Entergy Louisiana interconnection requirements, multiple sources",2025-12-01,Utility pays for meter itself; customer pays installation labor,https://www.entergylouisiana.com/business/ell-tariffs,,,,,,,,,,,,,,,Entergy Louisiana,,,,,,,,,Meter_Installation,Residential,0.0,25.0,kW,50.0,$,One-time,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cost of installing bidirectional meter for commercial systems,Entergy New Orleans net metering rules (similar for Entergy LA),2025-12-01,Commercial installations have slightly higher installation cost,https://www.entergyneworleans.com/net-metering,,,,,,,,,,,,,,,Entergy Louisiana,,,,,,,,,Meter_Installation,Commercial,25.01,300.0,kW,75.0,$,One-time,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Utility inspection fee for newly installed systems,"LPSC General Order (Dec 8, 2016), SLECA tariffs",,Applies to some rural co-ops; may not apply to all Entergy LA customers,https://www.sleca.com/member-services/net-metering/,2018-09-01,,,,,,,,,,,,,,Some Louisiana co-ops (SLECA),,,,,,,,,System_Inspection,All,0.0,9999.0,kW,100.0,$,One-time,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Simplified process for systems ≤300 kW under LPSC net billing rules,LPSC General Order R-33929,,No formal study required for systems under 300 kW; streamlined interconnection,,,,,,,,,,,,,,,,,,,,,,,,,Interconnection_Study,Small Commercial,25.0,300.0,kW,0.0,$,,30 business days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Feasibility and system impact studies for larger systems,Entergy Louisiana interconnection standards (typical utility practice),,"Costs vary by system complexity and grid impact; customer pays ""reasonable costs""",https://www.entergy-louisiana.com/net-metering/process/,,,,,,,,,,,,,,,,,,,,,,,,Interconnection_Study,Large Commercial/Industrial,300.01,2000.0,kW,,$,,,1000.0,25000.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,Full interconnection studies for utility-scale projects,"Industry standard (FERC, utility practice)",,"Requires feasibility, system impact, and facilities studies",,,,,,,,,,,,,,,,,,,,,,,,,Interconnection_Study,Utility-Scale,2000.01,999999.0,kW,,$,,6-12 months typical,25000.0,250000.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,Customer pays for grid upgrades if system requires them,"LPSC interconnection rules, Entergy standards",,"Highly variable; $0 for most residential/small commercial, $1k-$100k+ for large systems",,,,,,,,,,,,,,,,,,,,,,,,,Grid_Upgrades,Variable,,,,0.0,$,,,,,"Distance to substation, line capacity, transformer upgrades needed",,,,,,,,,,,,,,,,,,,,,,
,,,,External manual disconnect switch (customer-side cost),"LPSC safety requirements, typical installer costs",,"Required by Louisiana code; paid to solar installer, not utility",,,,,,,,,,,,,,,,,,,,,,,,,Disconnect_Switch,All,,,,,$,,,200.0,500.0,,~$200-300,~$100-200,,,,,,,,,,,,,,,,,,,,
,,,,No application fee for LPSC-regulated net billing interconnections,LPSC General Order R-33929,,Streamlined interconnection for ≤300 kW has no application fee,,,,,,,,,,,,,,,,,,,,,,,,,Application_Processing,All,,,,0.0,$,,,,,,,,Online application through Entergy portal,,,,,,,,,,,,,,,,,,,
,,,,Local building permit for solar installation,Typical Louisiana parish permit fees,,Varies by parish; Baton Rouge/Lafayette ~$100-300; not a utility fee,,,,,,,,,,,,,,,,,,,,,,,,,Building_Permit,All,,,,,$,,,50.0,500.0,,,,,Local parish/municipality,Local building department,,,,,,,,,,,,,,,,,
,PROHIBITED,,,No monthly fee for net billing customers in Louisiana,LPSC General Order R-33929,,Louisiana does NOT allow monthly solar surcharges,,,,,,,,,,,,,,,,,,,,,,,,,Monthly_Service_Fee,All,,,,0.0,$/month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana transitioned from net metering to net billing in 2020,"LPSC General Order R-33929 (September 19, 2019)",,,https://www.lpsc.louisiana.gov/Utilities_NetMetering,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net_Billing_Transition,"Systems interconnected before Jan 1, 2020 keep net metering",Post-2020 systems get avoided cost credits (~$0.02-0.03/kWh),Reduced economics for new solar installations by ~70-80%,,,,,,,,,,,,,
,,,kW,Maximum system sizes eligible for simplified net billing interconnection,"LPSC rules, Louisiana SB 359",,Systems above 300 kW require FERC qualifying facility status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System_Size_Limits,,,,25.0,300.0,Contact utility for custom interconnection agreement,,,,,,,,,,
,,,business days,Maximum time for utility to review interconnection application,LPSC interconnection standards,,Actual timeline often faster for simple residential systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interconnection_Timeline,,,,,,,30.0,90 days advance notice required before interconnection,,,,,,,,
,,,,,Entergy Louisiana interconnection standards,,Requirements vary by system size; verify with utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insurance_Requirements,,,,,,,,,Homeowners insurance typically sufficient,Liability insurance may be required ($1M typical),,,,,,
,,,,,LPSC safety standards,,All equipment must meet national safety codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical_Requirements,,,,,,,,,,,"NEC, IEEE 1547, UL 1741, NESC",UL 1741 certified inverter with anti-islanding,"Manual external disconnect switch, utility-accessible",,,
,,,,,Louisiana state law,,DIY solar installation not permitted for grid-tied systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contractor_Licensing,,,,,,,,,,,,,,Licensed electrical contractor required,Louisiana State Licensing Board for Contractors,https://www.lslbc.louisiana.gov/
