Parameter,Value,Unit,Description
Site_Name,Example Facility,,Project identifier
Latitude,30.22,degrees,Site latitude
Longitude,-92.02,degrees,Site longitude (negative for West)
Timezone,America/Chicago,,IANA timezone
Elevation,10,meters,Above sea level
Available_Ground_Space,50000,sq_ft,For ground-mount solar
Available_Roof_Space,20000,sq_ft,For rooftop solar
Service_Voltage,480,V,Main service voltage
Service_Amperage,2000,A,Main service capacity
Existing_Transformer_kVA,1500,kVA,Existing transformer size
Utility_Name,Entergy Louisiana,,Serving utility
Rate_Schedule,LGS,,Utility rate schedule code
Grid_Connection_Type,Radial,,Radial or Network
Interconnection_Voltage,12.47,kV,Distribution voltage
Max_Export_Allowed,500,kW,Utility export limit (0 if none)
